Enemie,Game,Relation
Bomber Bill,Mario & Luigi: Dream Team,ENEMY_IN
Bomber Bill,Super Mario Galaxy,ENEMY_IN
Bomber Bill,Mario Party: Island Tour,ENEMY_IN
Bomber Bill,New Super Mario Bros. Wii,ENEMY_IN
Bomber Bill,Mario Party 10,ENEMY_IN
Bomber Bill,Super Mario Galaxy 2,ENEMY_IN
Bomber Bill,Super Mario Party Jamboree,ENEMY_IN
Bomber Bill,Super Mario 3D Land,ENEMY_IN
Bomber Bill,New Super Mario Bros. 2,ENEMY_IN
Bomber Bill,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,ENEMY_IN
Bomber Bill,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,ENEMY_IN
Bomber Bill,Super Mario Odyssey,ENEMY_IN
Bomber Bill,Super Mario Maker 2,ENEMY_IN
Bony Beetle,Super Mario World / Super Mario World: Super Mario Advance 2,ENEMY_IN
Bony Beetle,Mario Party: Island Tour,ENEMY_IN
Bony Beetle,Super Mario Advance 4: Super Mario Bros. 3,ENEMY_IN
Bony Beetle,Super Mario Party,ENEMY_IN
Bony Beetle,New Super Mario Bros. U / New Super Mario Bros. U Deluxe,ENEMY_IN
Bony Beetle,Super Mario Party Jamboree,ENEMY_IN
Boo Buddies,Super Mario World,ENEMY_IN
Boo Buddies,New Super Mario Bros. Wii,ENEMY_IN
Boo Buddies,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,ENEMY_IN
Boo Buddies,Super Mario Maker / Super Mario Maker for Nintendo 3DS,ENEMY_IN
Boo Buddies,Super Mario Maker 2,ENEMY_IN
Boomerang Bro,Super Mario Bros. 3,ENEMY_IN
Boomerang Bro,Mario Kart 8,ENEMY_IN
Boomerang Bro,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,ENEMY_IN
Boomerang Bro,New Super Mario Bros.,ENEMY_IN
Boomerang Bro,Mario Kart Tour,ENEMY_IN
Boomerang Bro,Mario & Luigi: Dream Team,ENEMY_IN
Boomerang Bro,New Super Mario Bros. Wii,ENEMY_IN
Boomerang Bro,Mario & Luigi: Paper Jam,ENEMY_IN
Boomerang Bro,Super Mario Galaxy 2,ENEMY_IN
Boomerang Bro,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,ENEMY_IN
Boomerang Bro,Super Mario 3D Land,ENEMY_IN
Boomerang Bro,New Super Mario Bros. 2,ENEMY_IN
Boomerang Bro,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,ENEMY_IN
Boomerang Bro,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,ENEMY_IN
Boulder,Super Mario World,ENEMY_IN
Boulder,Mario Kart 64,ENEMY_IN
Boulder,Super Mario Land 2: 6 Golden Coins,ENEMY_IN
Boulder,Mario Kart: Double Dash!!,ENEMY_IN
Boulder,Super Mario 64 / Super Mario 64 DS,ENEMY_IN
Boulder,Mario Kart DS,ENEMY_IN
Boulder,Super Mario Galaxy,ENEMY_IN
Boulder,Mario Kart Wii,ENEMY_IN
Boulder,Super Mario Galaxy 2,ENEMY_IN
Boulder,Mario Kart 7,ENEMY_IN
Boulder,New Super Mario Bros. 2,ENEMY_IN
Boulder,Mario Kart 8 / Mario Kart 8 Deluxe,ENEMY_IN
Boulder,Super Mario Odyssey,ENEMY_IN
Boulder,Mario Kart Tour,ENEMY_IN
Bramball,New Super Mario Bros. Wii,ENEMY_IN
Bramball,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,ENEMY_IN
Broque Monsieur,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,ENEMY_IN
Broque Monsieur,Mario & Luigi: Dream Team,ENEMY_IN
Broque Monsieur,Mario & Luigi: Superstar Saga + Bowser's Minions,ENEMY_IN
Broque Monsieur,Mario & Luigi: Brothership,ENEMY_IN
Broozer,New Super Mario Bros.,ENEMY_IN
Broozer,Super Mario Party,ENEMY_IN
Broozer,Mario & Luigi: Paper Jam,ENEMY_IN
