Boss,Game,Relation
Diddy Kong,Super Smash Bros. Brawl,BOSS_IN
Diddy Kong,Super Mario Odyssey,BOSS_IN
Diddy Kong,Mario Kart Arcade GP subseries,BOSS_IN
Diddy Kong,Super Smash Bros. for Nintendo 3DS / Wii U,BOSS_IN
Diddy Kong,Mario Kart Wii,BOSS_IN
Diddy Kong,Super Smash Bros. Ultimate,BOSS_IN
Diddy Kong,Mario Kart Tour,BOSS_IN
Diddy Kong,Mario Kart 8 Deluxe,BOSS_IN
Don Bongo,Super Smash Bros. Brawl,BOSS_IN
Don Bongo,Super Smash Bros. Ultimate,BOSS_IN
Dry Bowser,New Super Mario Bros.,BOSS_IN
Dry Bowser,Mario Kart Wii,BOSS_IN
Dry Bowser,Mario & Luigi: Paper Jam,BOSS_IN
Dry Bowser,Super Mario 3D Land,BOSS_IN
Dry Bowser,Mario Kart Arcade GP DX,BOSS_IN
Dry Bowser,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN
Dry Bowser,New Super Mario Bros. 2,BOSS_IN
Dry Bowser,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN
Dry Bowser,Mario Kart Tour,BOSS_IN
Dry Bones,Super Mario Bros. 3 / Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN
Dry Bones,Mario Kart DS,BOSS_IN
Dry Bones,Mario Party 7,BOSS_IN
Dry Bones,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN
